#STEPS          TOT_EN          EN_INTER        EN_LRC          EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        COMPRESSIBILITY ENTHALPY        VOLUME          HEAT_VAP        
10000            -6.89118101e-02 -1.16393247e-02 -6.48716335e-03  0.00000000e+00  0.00000000e+00 -5.07853221e-02 -3.70492829e-02  2.00011752e+01  1.04142327e+01  1.20799982e-02  3.40121000e+01  8.64853347e-03  1.00034982e+00  2.49606487e+00  1.17645250e+08  4.37052437e+01
20000             4.99214453e-01  0.00000000e+00 -5.57292966e-03  0.00000000e+00  0.00000000e+00  5.04787383e-01  5.22381094e-01  1.85288634e+01  1.03088173e+00  1.11257683e-02  3.15167000e+01  8.01400218e-03  1.00003588e+00  2.49453174e+00  1.17645334e+08  4.40517920e+01
30000             2.09415446e-01 -5.62763550e-03 -4.63588609e-03  0.00000000e+00  0.00000000e+00  2.19678967e-01  2.32708712e-01  1.68989674e+01 -6.23715015e+00  9.96118393e-03  2.87392000e+01  7.30773895e-03  9.99778299e-01  2.49337630e+00  1.17645434e+08  4.42082586e+01
40000            -1.03265145e+00 -1.14745226e-04 -5.70037527e-03  0.00000000e+00  0.00000000e+00 -1.02683633e+00 -1.03125899e+00  1.87497219e+01  4.59129328e-01  1.12311535e-02  3.18546000e+01  8.09991448e-03  1.00001731e+00  2.49441150e+00  1.17645455e+08  4.42276028e+01
50000            -6.59233521e-02 -3.00933126e-02 -3.93070377e-03  0.00000000e+00  0.00000000e+00 -3.18993357e-02 -1.06381002e-02  1.55009594e+01 -1.02202292e+00  9.43481856e-03  2.63775000e+01  6.70719639e-03  9.99958995e-01  2.49412002e+00  1.17645691e+08  4.44576580e+01
60000            -5.92736262e-01 -1.15416857e-02 -2.56642175e-03  0.00000000e+00  0.00000000e+00 -5.78628155e-01 -5.22941105e-01  1.25235641e+01  7.46691493e-01  7.49933343e-03  2.13764000e+01  5.43552718e-03  1.00004242e+00  2.49454513e+00  1.17645769e+08  4.46469691e+01
70000             2.48402251e-02  0.00000000e+00 -1.78545379e-03  0.00000000e+00  0.00000000e+00  2.66256789e-02  3.12439167e-02  1.04619279e+01  2.42580376e-01  6.40756669e-03  1.77862000e+01  4.52261041e-03  1.00001319e+00  2.49439349e+00  1.17646076e+08  4.50513383e+01
80000            -1.46723742e-01  0.00000000e+00 -1.10525007e-03  0.00000000e+00  0.00000000e+00 -1.45618492e-01 -1.55332431e-01  8.21120163e+00 -5.70323456e+00  4.89158650e-03  1.39371000e+01  3.54387187e-03  9.99579154e-01  2.49223070e+00  1.17646169e+08  4.52295151e+01
90000            -1.77899528e-01  0.00000000e+00 -1.57738223e-03  0.00000000e+00  0.00000000e+00 -1.76322145e-01 -1.27754412e-01  9.82009855e+00  3.94656706e-01  5.95005715e-03  1.67702000e+01  4.26425168e-03  1.00002727e+00  2.49450438e+00  1.17646452e+08  4.53816469e+01
100000           -9.80025119e-02  0.00000000e+00 -1.39184133e-03  0.00000000e+00  0.00000000e+00 -9.66106706e-02 -1.05784141e-01  9.27166254e+00  1.90460969e+00  5.52827639e-03  1.57401000e+01  4.00232638e-03  1.00013791e+00  2.49501921e+00  1.17646336e+08  4.54819930e+01
